title,text,stars,publishedAtDate,likesCount,platform,tokens,text_preprocessed,sentimen,prediksi_sentimen
Masjid Raya Baiturrahman,terimakasih atas vidio yang mahal ini kami sangat menikmatinya,,20/05/2026 11:07,176,TikTok,"['terimakasih', 'atas', 'vidio', 'mahal', 'sangat', 'nikmat']",terimakasih atas vidio mahal sangat nikmat,,Positif
Masjid Raya Baiturrahman,alhamdulillah sdh dpt masuk dan solat maghrib di masjid baitulrahman pada yg lalu salam dr,,20/05/2026 20:25,46,TikTok,"['alhamdulillah', 'sdh', 'dpt', 'masuk', 'solat', 'maghrib', 'masjid', 'baitulrahman', 'yg', 'lalu', 'salam', 'dr']",alhamdulillah sdh dpt masuk solat maghrib masjid baitulrahman yg lalu salam dr,,Positif
Masjid Raya Baiturrahman,alhamdulillah,,22/05/2026 12:44,8,TikTok,['alhamdulillah'],alhamdulillah,,Positif
Masjid Raya Baiturrahman,masha allah,,01/06/2026 09:44,0,TikTok,"['masha', 'allah']",masha allah,,Positif
Masjid Raya Baiturrahman,ya allah pengen sekali berkunjung ke masjid raya baiturrahman banda aceh salam dari lampaseh,,20/05/2026 19:36,16,TikTok,"['allah', 'ken', 'sekali', 'kunjung', 'masjid', 'raya', 'baiturrahman', 'banda', 'aceh', 'salam', 'lampaseh']",allah ken sekali kunjung masjid raya baiturrahman banda aceh salam lampaseh,,Positif
Masjid Raya Baiturrahman,salam dari jambi pertama kali memijakan kaki di masjid yg bersejarah ini,,22/05/2026 17:59,6,TikTok,"['salam', 'jambi', 'pertama', 'kali', 'pijak', 'kaki', 'masjid', 'yg', 'sejarah']",salam jambi pertama kali pijak kaki masjid yg sejarah,,Positif
Masjid Raya Baiturrahman,sya kristen tapi saya pernah masuk dan menginjakan kaki di mesjid ini saya kagum respact,,22/05/2026 09:45,25,TikTok,"['sya', 'kristen', 'pernah', 'masuk', 'kinja', 'kaki', 'mesjid', 'kagum', 'respact']",sya kristen pernah masuk kinja kaki mesjid kagum respact,,Positif
Masjid Raya Baiturrahman,sticker mesjid baiturrahman banda aceh,,05/06/2026 17:09,1,TikTok,"['sticker', 'mesjid', 'baiturrahman', 'banda', 'aceh']",sticker mesjid baiturrahman banda aceh,,Positif
Masjid Raya Baiturrahman,aku ingin kembali lagi ke sini,,22/05/2026 11:07,6,TikTok,"['aku', 'sini']",aku sini,,Positif
Masjid Raya Baiturrahman,ya allah kapan aku bisa keaceh soalnya aku tinggal di pidie,,20/05/2026 17:59,5,TikTok,"['allah', 'kapan', 'aku', 'keaceh', 'soal', 'aku', 'tinggal', 'pidie']",allah kapan aku keaceh soal aku tinggal pidie,,Positif
Masjid Raya Baiturrahman,mesjid agung,,20/05/2026 12:02,9,TikTok,"['mesjid', 'agung']",mesjid agung,,Positif
Masjid Raya Baiturrahman,sambil rebahan bisa masuk mesjid raya asik ini mantap apalagi saat jamaahnya ramai bnyak sperti momen shalat ied lebih mantap lagi ditunggu ya sob,,21/05/2026 20:50,6,TikTok,"['rebah', 'masuk', 'mesjid', 'raya', 'asik', 'mantap', 'jamaah', 'ramai', 'bnyak', 'sperti', 'momen', 'shalat', 'ied', 'lebih', 'mantap', 'tunggu', 'sob']",rebah masuk mesjid raya asik mantap jamaah ramai bnyak sperti momen shalat ied lebih mantap tunggu sob,,Positif
Masjid Raya Baiturrahman,y allah pengen ke situ lagi bareng orgtua skrang udh tmbah anggota kluarga lgi smoga bisa,,20/05/2026 11:56,16,TikTok,"['y', 'allah', 'ken', 'situ', 'bareng', 'orgtua', 'skrang', 'udh', 'tmbah', 'anggota', 'kluarga', 'lgi', 'smoga']",y allah ken situ bareng orgtua skrang udh tmbah anggota kluarga lgi smoga,,Positif
Masjid Raya Baiturrahman,mesjid kebanggaan orang aceh klo ke banda aceh sebelum singgah ke mesjid raya belum sah rasanya salam dari aneuk ranto medan,,20/05/2026 14:02,5,TikTok,"['mesjid', 'bangga', 'orang', 'aceh', 'klo', 'banda', 'aceh', 'singgah', 'mesjid', 'raya', 'sah', 'rasa', 'salam', 'aneuk', 'ranto', 'medan']",mesjid bangga orang aceh klo banda aceh singgah mesjid raya sah rasa salam aneuk ranto medan,,Positif
Masjid Raya Baiturrahman,aku pernah solat di mesjid raya banda aceh yaallah pingin kesitu lagi,,20/05/2026 17:11,9,TikTok,"['aku', 'pernah', 'solat', 'mesjid', 'raya', 'banda', 'aceh', 'yaallah', 'pingin', 'kesitu']",aku pernah solat mesjid raya banda aceh yaallah pingin kesitu,,Positif
Masjid Raya Baiturrahman,masya allah,,03/06/2026 11:51,0,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,masyaallah sangat indah,,23/05/2026 13:06,0,TikTok,"['masyaallah', 'sangat', 'indah']",masyaallah sangat indah,,Positif
Masjid Raya Baiturrahman,pengen ke aceh bulan depan semaga aja ke capai salam minang lhoksumawe,,20/05/2026 19:26,6,TikTok,"['ken', 'aceh', 'bulan', 'depan', 'semaga', 'aja', 'capai', 'salam', 'mang', 'lhoksumawe']",ken aceh bulan depan semaga aja capai salam mang lhoksumawe,,Positif
Masjid Raya Baiturrahman,keren kak,,24/05/2026 14:33,0,TikTok,"['keren', 'kak']",keren kak,,Positif
Masjid Raya Baiturrahman,masyaallah indah nyaaaaaaa,,29/05/2026 00:41,0,TikTok,"['masyaallah', 'indah', 'nyaaaaaaa']",masyaallah indah nyaaaaaaa,,Positif
Masjid Raya Baiturrahman,sungguh amazing penyajian nya,,26/05/2026 22:25,0,TikTok,"['sungguh', 'amazing', 'saji', 'nya']",sungguh amazing saji nya,,Positif
Masjid Raya Baiturrahman,kangen,,27/05/2026 14:54,0,TikTok,['kangen'],kangen,,Positif
Masjid Raya Baiturrahman,luar biasa mesjid kebaggaan kita,,23/05/2026 16:57,0,TikTok,"['luar', 'biasa', 'mesjid', 'kebaggaan']",luar biasa mesjid kebaggaan,,Positif
Masjid Raya Baiturrahman,sticker,,22/05/2026 09:29,0,TikTok,['sticker'],sticker,,Positif
Masjid Raya Baiturrahman,amiin,,22/05/2026 08:00,1,TikTok,['amiin'],amiin,,Positif
Masjid Raya Baiturrahman,masya allah tabarakallah,,22/05/2026 00:37,0,TikTok,"['masya', 'allah', 'tabarakallah']",masya allah tabarakallah,,Positif
Masjid Raya Baiturrahman,salam dari ulka ule kareng city,,07/06/2026 14:54,0,TikTok,"['salam', 'ulka', 'ule', 'kareng', 'city']",salam ulka ule kareng city,,Positif
Masjid Raya Baiturrahman,masyaallah,,22/05/2026 07:20,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,subhaanallah,,24/05/2026 12:21,0,TikTok,['subhaanallah'],subhaanallah,,Positif
Masjid Raya Baiturrahman,jujur aja yg aku orang aceh tapih belum pernah ke masjid ini,,28/05/2026 02:07,2,TikTok,"['jujur', 'aja', 'yg', 'aku', 'orang', 'aceh', 'tapih', 'pernah', 'masjid']",jujur aja yg aku orang aceh tapih pernah masjid,,Positif
Masjid Raya Baiturrahman,thankyou,,22/05/2026 11:28,1,TikTok,['thankyou'],thankyou,,Positif
Masjid Raya Baiturrahman,masya allah bru tau seluas itu,,03/06/2026 18:13,1,TikTok,"['masya', 'allah', 'bru', 'tau', 'luas']",masya allah bru tau luas,,Positif
Masjid Raya Baiturrahman,salah satu masjid tertua,,22/05/2026 17:11,0,TikTok,"['salah', 'satu', 'masjid', 'tua']",salah satu masjid tua,,Positif
Masjid Raya Baiturrahman,salam duuh luar biasa indah dan megah nye,,01/06/2026 18:23,0,TikTok,"['salam', 'duuh', 'luar', 'biasa', 'indah', 'megah', 'nye']",salam duuh luar biasa indah megah nye,,Positif
Masjid Raya Baiturrahman,huaaa kangen,,22/05/2026 22:16,0,TikTok,"['huaaa', 'kangen']",huaaa kangen,,Positif
Masjid Raya Baiturrahman,mashaallah mantap,,22/05/2026 15:06,0,TikTok,"['mashaallah', 'mantap']",mashaallah mantap,,Netral
Masjid Raya Baiturrahman,subhanallah,,21/05/2026 07:42,0,TikTok,['subhanallah'],subhanallah,,Positif
Masjid Raya Baiturrahman,sticker,,26/05/2026 20:52,0,TikTok,['sticker'],sticker,,Positif
Masjid Raya Baiturrahman,ya allah semoga dapat pergi sana hari nanti aamiin,,20/05/2026 17:01,2,TikTok,"['allah', 'moga', 'pergi', 'sana', 'hari', 'aamiin']",allah moga pergi sana hari aamiin,,Positif
Masjid Raya Baiturrahman,kalo begini izinnya kemana,,20/05/2026 19:06,1,TikTok,"['kalo', 'begini', 'izin']",kalo begini izin,,Positif
Masjid Raya Baiturrahman,sudah pernah kesana thn kemarin,,24/05/2026 09:52,0,TikTok,"['pernah', 'kesana', 'thn', 'kemarin']",pernah kesana thn kemarin,,Positif
Masjid Raya Baiturrahman,amin,,21/05/2026 10:47,0,TikTok,['amin'],amin,,Positif
Masjid Raya Baiturrahman,sticker,,20/05/2026 10:50,2,TikTok,['sticker'],sticker,,Positif
Masjid Raya Baiturrahman,alhamdulillah udah pernah salam dari aceh selatan,,22/05/2026 10:35,0,TikTok,"['alhamdulillah', 'udah', 'pernah', 'salam', 'aceh', 'selatan']",alhamdulillah udah pernah salam aceh selatan,,Positif
Masjid Raya Baiturrahman,masyaallah,,29/05/2026 19:41,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,subhanallah,,23/05/2026 02:45,0,TikTok,['subhanallah'],subhanallah,,Positif
Masjid Raya Baiturrahman,masya allah,,20/05/2026 12:38,3,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,sticker,,24/05/2026 16:54,0,TikTok,['sticker'],sticker,,Positif
Masjid Raya Baiturrahman,masjid raya baiturrahman masyaallah,,20/05/2026 14:32,1,TikTok,"['masjid', 'raya', 'baiturrahman', 'masyaallah']",masjid raya baiturrahman masyaallah,,Positif
Masjid Raya Baiturrahman,masyaallah,,24/05/2026 03:35,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,gini rasanya terbang rendahh kayanya ya,,27/05/2026 15:41,1,TikTok,"['gin', 'rasa', 'terbang', 'rendahh', 'kaya']",gin rasa terbang rendahh kaya,,Positif
Masjid Raya Baiturrahman,alhamdulilah saya sdh berulang kali sholat di mesjid raya baiturahman sedap sangat di dlm nya sejuk sangat hati pun selalu tenang masya allah,,21/05/2026 07:13,3,TikTok,"['alhamdulilah', 'sdh', 'ulang', 'kali', 'sholat', 'mesjid', 'raya', 'baiturahman', 'sedap', 'sangat', 'dlm', 'nya', 'sejuk', 'sangat', 'hati', 'selalu', 'tenang', 'masya', 'allah']",alhamdulilah sdh ulang kali sholat mesjid raya baiturahman sedap sangat dlm nya sejuk sangat hati selalu tenang masya allah,,Positif
Masjid Raya Baiturrahman,izin share kk,,20/05/2026 12:40,3,TikTok,"['izin', 'share', 'kk']",izin share kk,,Positif
Masjid Raya Baiturrahman,pengen banget ke aceh salam dari krueng mane,,28/05/2026 06:52,2,TikTok,"['ken', 'banget', 'aceh', 'salam', 'krueng', 'mane']",ken banget aceh salam krueng mane,,Positif
Masjid Raya Baiturrahman,betapa rindu nya kesini lagi,,21/05/2026 10:39,1,TikTok,"['betapa', 'rindu', 'nya', 'kesini']",betapa rindu nya kesini,,Positif
Masjid Raya Baiturrahman,aku tinggal di aceh utara tapi belum pernah kemesjid ini ya allah berilah kesempatan untuk ku untuk berkunjung ke mesjid ini aamiiin,,22/05/2026 13:29,1,TikTok,"['aku', 'tinggal', 'aceh', 'utara', 'pernah', 'mesjid', 'allah', 'ilah', 'sempat', 'ku', 'kunjung', 'mesjid', 'aamiiin']",aku tinggal aceh utara pernah mesjid allah ilah sempat ku kunjung mesjid aamiiin,,Positif
Masjid Raya Baiturrahman,masyaallah adem nya,,20/05/2026 12:11,3,TikTok,"['masyaallah', 'adem', 'nya']",masyaallah adem nya,,Positif
Masjid Raya Baiturrahman,lurus tebus ke mekah yaallah pingin ke mekah,,22/05/2026 14:42,2,TikTok,"['lurus', 'tebus', 'mekah', 'yaallah', 'pingin', 'mekah']",lurus tebus mekah yaallah pingin mekah,,Positif
Masjid Raya Baiturrahman,kebanggaan rakyat aceh adalah masjid raya baiturrahman,,20/05/2026 12:07,4,TikTok,"['bangga', 'rakyat', 'aceh', 'masjid', 'raya', 'baiturrahman']",bangga rakyat aceh masjid raya baiturrahman,,Positif
Masjid Raya Baiturrahman,masya allah,,20/05/2026 13:07,2,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,ijin save,,21/05/2026 18:47,0,TikTok,"['ijin', 'save']",ijin save,,Positif
Masjid Raya Baiturrahman,luas sekali masjidnya,,22/05/2026 08:21,0,TikTok,"['luas', 'sekali', 'masjid']",luas sekali masjid,,Positif
Masjid Raya Baiturrahman,udah lama banget ngak kesana semoga beutrok lom,,04/06/2026 20:42,0,TikTok,"['udah', 'lama', 'banget', 'ngak', 'kesana', 'moga', 'beutrok', 'lom']",udah lama banget ngak kesana moga beutrok lom,,Positif
Masjid Raya Baiturrahman,masya allah,,20/05/2026 21:46,0,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,masyaallah,,22/05/2026 10:36,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,luar biasa,,20/05/2026 22:11,0,TikTok,"['luar', 'biasa']",luar biasa,,Positif
Masjid Raya Baiturrahman,masyallah,,21/05/2026 09:24,0,TikTok,['masyallah'],masyallah,,Positif
Masjid Raya Baiturrahman,masya allah cantik sgt dh,,21/05/2026 11:45,0,TikTok,"['masya', 'allah', 'cantik', 'sgt', 'dh']",masya allah cantik sgt dh,,Positif
Masjid Raya Baiturrahman,masya alloh,,21/05/2026 11:29,0,TikTok,"['masya', 'alloh']",masya alloh,,Positif
Masjid Raya Baiturrahman,masya allah,,21/05/2026 18:54,0,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,rindu suasananya,,21/05/2026 12:00,0,TikTok,"['rindu', 'suasana']",rindu suasana,,Positif
Masjid Raya Baiturrahman,dekat gan rumah kite masjid ni,,22/05/2026 08:52,0,TikTok,"['dekat', 'gan', 'rumah', 'kite', 'masjid', 'ni']",dekat gan rumah kite masjid ni,,Positif
Masjid Raya Baiturrahman,izin save video nya,,20/05/2026 21:05,0,TikTok,"['izin', 'save', 'video', 'nya']",izin save video nya,,Positif
Masjid Raya Baiturrahman,masya allah tabarakallah,,21/05/2026 19:33,0,TikTok,"['masya', 'allah', 'tabarakallah']",masya allah tabarakallah,,Positif
Masjid Raya Baiturrahman,masyaallah impianku dri kcil pengen sekali liat langsung dan shalat di mesjid ini tpi sampek skrg udh umur blum jga kesampaian pdhl sya asli aceh,,22/05/2026 11:14,0,TikTok,"['masyaallah', 'impi', 'dri', 'kcil', 'ken', 'sekali', 'liat', 'langsung', 'shalat', 'mesjid', 'tpi', 'sampek', 'skrg', 'udh', 'umur', 'blum', 'jga', 'sampai', 'pdhl', 'sya', 'asli', 'aceh']",masyaallah impi dri kcil ken sekali liat langsung shalat mesjid tpi sampek skrg udh umur blum jga sampai pdhl sya asli aceh,,Positif
Masjid Raya Baiturrahman,masyaallah aku pengen kali kesana kk,,22/05/2026 15:28,0,TikTok,"['masyaallah', 'aku', 'ken', 'kali', 'kesana', 'kk']",masyaallah aku ken kali kesana kk,,Positif
Masjid Raya Baiturrahman,masyaallah luar biasa,,20/05/2026 19:44,0,TikTok,"['masyaallah', 'luar', 'biasa']",masyaallah luar biasa,,Positif
Masjid Raya Baiturrahman,masyaallah ta barakallah,,19/05/2026 19:15,4,TikTok,"['masyaallah', 'ta', 'barakallah']",masyaallah ta barakallah,,Positif
Masjid Raya Baiturrahman,masya allah tabarakallah alhamdulillah,,03/06/2026 07:54,0,TikTok,"['masya', 'allah', 'tabarakallah', 'alhamdulillah']",masya allah tabarakallah alhamdulillah,,Positif
Masjid Raya Baiturrahman,masyaallah,,22/05/2026 17:10,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,indah dan terasa amat agung masjid raya baiturrahman,,20/05/2026 19:26,1,TikTok,"['indah', 'asa', 'agung', 'masjid', 'raya', 'baiturrahman']",indah asa agung masjid raya baiturrahman,,Positif
Masjid Raya Baiturrahman,masya allah tabarakallah,,20/05/2026 11:15,2,TikTok,"['masya', 'allah', 'tabarakallah']",masya allah tabarakallah,,Positif
Masjid Raya Baiturrahman,maaasyaaaa aaallaaah megah tat lepah,,21/05/2026 17:17,0,TikTok,"['maaasyaaaa', 'aaallaaah', 'megah', 'tat', 'lepah']",maaasyaaaa aaallaaah megah tat lepah,,Positif
Masjid Raya Baiturrahman,jamaah full kah,,22/05/2026 10:42,0,TikTok,"['jamaah', 'full']",jamaah full,,Positif
Masjid Raya Baiturrahman,ya allah rindu ingin ke masjid baiturrahman dulu sering sholat jum at di masjid baiturrahman insyaallah tahun depan bawak anak sholat di sini,,25/05/2026 23:37,1,TikTok,"['allah', 'rindu', 'masjid', 'baiturrahman', 'dulu', 'sering', 'sholat', 'jum', 'at', 'masjid', 'baiturrahman', 'insyaallah', 'tahun', 'depan', 'bawak', 'anak', 'sholat', 'sini']",allah rindu masjid baiturrahman dulu sering sholat jum at masjid baiturrahman insyaallah tahun depan bawak anak sholat sini,,Positif
Masjid Raya Baiturrahman,serumit rumitnya pemikiran di kepala tapi bila sudah berada di dalam masjid ini semua terasa plong dan adem masjid kebanggaan dan penuh keberkahan,,22/05/2026 16:18,0,TikTok,"['rumit', 'rumit', 'pikir', 'kepala', 'bila', 'ada', 'masjid', 'semua', 'asa', 'plong', 'adem', 'masjid', 'bangga', 'penuh', 'berkah']",rumit rumit pikir kepala bila ada masjid semua asa plong adem masjid bangga penuh berkah,,Positif
Masjid Raya Baiturrahman,ma syaa allah subhanallah indah dan luas nya mesjid banda aceh saya blm prnh masuk ke dalam krn dr udh ke batam thn pulang prgi melaboh balek dr melaboh smpai mesjid udh jam mlm jd hanya di payung itu aja masuk nya,,21/05/2026 20:03,0,TikTok,"['ma', 'syaa', 'allah', 'subhanallah', 'indah', 'luas', 'nya', 'mesjid', 'banda', 'aceh', 'blm', 'prnh', 'masuk', 'krn', 'dr', 'udh', 'batam', 'thn', 'pulang', 'prgi', 'melaboh', 'balek', 'dr', 'melaboh', 'smpai', 'mesjid', 'udh', 'jam', 'mlm', 'jd', 'payung', 'aja', 'masuk', 'nya']",ma syaa allah subhanallah indah luas nya mesjid banda aceh blm prnh masuk krn dr udh batam thn pulang prgi melaboh balek dr melaboh smpai mesjid udh jam mlm jd payung aja masuk nya,,Positif
Masjid Raya Baiturrahman,indah nya di dlm masjid dan luas lg sejuk ht memandang,,21/05/2026 12:07,1,TikTok,"['indah', 'nya', 'dlm', 'masjid', 'luas', 'lg', 'sejuk', 'ht', 'pandang']",indah nya dlm masjid luas lg sejuk ht pandang,,Positif
Masjid Raya Baiturrahman,rindu nak balik kampung nak pergi kemesjid ini,,21/05/2026 09:30,0,TikTok,"['rindu', 'nak', 'balik', 'kampung', 'nak', 'pergi', 'mesjid']",rindu nak balik kampung nak pergi mesjid,,Positif
Masjid Raya Baiturrahman,masyaallah,,01/06/2026 21:16,0,TikTok,['masyaallah'],masyaallah,,Positif
Masjid Raya Baiturrahman,masha allah keren parah smpe tembus ke dalam,,24/05/2026 15:51,0,TikTok,"['masha', 'allah', 'keren', 'parah', 'smpe', 'tembus']",masha allah keren parah smpe tembus,,Positif
Masjid Raya Baiturrahman,masyaallah tabarakallah,,22/05/2026 00:34,0,TikTok,"['masyaallah', 'tabarakallah']",masyaallah tabarakallah,,Positif
Masjid Raya Baiturrahman,ijin download video ya min,,21/05/2026 23:18,0,TikTok,"['ijin', 'download', 'video', 'min']",ijin download video min,,Positif
Masjid Raya Baiturrahman,semoga lebaran ini bisa ke tempat yg mulia ini,,21/05/2026 22:46,0,TikTok,"['moga', 'lebaran', 'tempat', 'yg', 'mulia']",moga lebaran tempat yg mulia,,Positif
Masjid Raya Baiturrahman,ijin saya post ulang,,20/05/2026 12:51,2,TikTok,"['ijin', 'post', 'ulang']",ijin post ulang,,Positif
Masjid Raya Baiturrahman,macam pernah ku lihat masjid seperti ini nama seperti ini tapi masjid itu kecik ini masjid besar mana ya,,21/05/2026 23:23,0,TikTok,"['macam', 'pernah', 'ku', 'lihat', 'masjid', 'nama', 'masjid', 'kecik', 'masjid', 'besar', 'mana']",macam pernah ku lihat masjid nama masjid kecik masjid besar mana,,Positif
Masjid Raya Baiturrahman,ini bukn nya mesjit raya baiturrahman banda aceh,,26/05/2026 11:17,1,TikTok,"['bukn', 'nya', 'mesjit', 'raya', 'baiturrahman', 'banda', 'aceh']",bukn nya mesjit raya baiturrahman banda aceh,,Positif
Masjid Raya Baiturrahman,sticker,,26/05/2026 08:26,0,TikTok,['sticker'],sticker,,Positif
Masjid Raya Baiturrahman,masyaallah main dron dalam masjid salam dari banda aceh,,22/05/2026 12:08,0,TikTok,"['masyaallah', 'main', 'dron', 'masjid', 'salam', 'banda', 'aceh']",masyaallah main dron masjid salam banda aceh,,Positif
Museum Tsunami Aceh,masjid rahmatullah berdiri kokoh di pesisir pantai lampuuk sementara bangunan lain hancur porak poranda merinding bacanya,,09/07/2025 16:03,271,TikTok,"['masjid', 'rahmatullah', 'diri', 'kokoh', 'pesisir', 'pantai', 'lampuuk', 'bangun', 'hancur', 'porak', 'poranda', 'merinding', 'baca']",masjid rahmatullah diri kokoh pesisir pantai lampuuk bangun hancur porak poranda merinding baca,,Positif
Museum Tsunami Aceh,stunami,,17/06/2025 22:27,38,TikTok,['stunami'],stunami,,Positif
Museum Tsunami Aceh,pengibaran bendera setengah tiang,,03/08/2025 13:25,1,TikTok,"['kibar', 'bendera', 'tengah', 'tiang']",kibar bendera tengah tiang,,Positif
Museum Tsunami Aceh,tsunami ka bukan stunami,,08/08/2025 10:05,2,TikTok,"['tsunami', 'ka', 'bukan', 'stunami']",tsunami ka bukan stunami,,Positif
Museum Tsunami Aceh,blm lahir,,30/07/2025 20:55,3,TikTok,"['blm', 'lahir']",blm lahir,,Positif
Museum Tsunami Aceh,kemaren habis ke museum ke kapal terapung kakk,,07/04/2026 20:59,0,TikTok,"['kemaren', 'habis', 'museum', 'kapal', 'apung', 'kakk']",kemaren habis museum kapal apung kakk,,Positif
Museum Tsunami Aceh,saudara ayah ku banyak yang kena dampak tsunami aceh banyak yang meninggal dan jasad nya gak ada di temukan sampai sekarang kisah kelam tsunami aceh,,22/07/2025 07:57,57,TikTok,"['saudara', 'ayah', 'ku', 'banyak', 'kena', 'dampak', 'tsunami', 'aceh', 'banyak', 'tinggal', 'jasad', 'nya', 'gak', 'temu', 'sekarang', 'kisah', 'kelam', 'tsunami', 'aceh']",saudara ayah ku banyak kena dampak tsunami aceh banyak tinggal jasad nya gak temu sekarang kisah kelam tsunami aceh,,Positif
Museum Tsunami Aceh,folloback,,29/05/2025 01:55,2,TikTok,['folloback'],folloback,,Positif
Museum Tsunami Aceh,ikut nyesek padahl bukan orang aceh,,08/08/2025 01:40,10,TikTok,"['ikut', 'nyesek', 'padahl', 'bukan', 'orang', 'aceh']",ikut nyesek padahl bukan orang aceh,,Positif
Museum Tsunami Aceh,aceh bangkit tidak sendiri,,05/08/2025 11:53,1,TikTok,"['aceh', 'bangkit', 'sendiri']",aceh bangkit sendiri,,Positif
Museum Tsunami Aceh,day salah nulis,,02/08/2025 12:29,2,TikTok,"['day', 'salah', 'nulis']",day salah nulis,,Positif
Museum Tsunami Aceh,stunami,,12/08/2025 08:18,1,TikTok,['stunami'],stunami,,Positif
Museum Tsunami Aceh,enak yang pernah masuk ke museumnya,,19/07/2025 17:26,1,TikTok,"['enak', 'pernah', 'masuk', 'museum']",enak pernah masuk museum,,Positif
Museum Tsunami Aceh,pas pas lgi mkn mie aceh,,24/07/2025 21:03,0,TikTok,"['pas', 'pas', 'lgi', 'mkn', 'mie', 'aceh']",pas pas lgi mkn mie aceh,,Positif
Museum Tsunami Aceh,desember yaallah dan bulan ini desemner terjadi tapi bukan tsunami pray for aceh sumatera utara sumatera barat,,07/12/2025 20:42,1,TikTok,"['desember', 'yaallah', 'bulan', 'desemner', 'jadi', 'bukan', 'tsunami', 'pray', 'for', 'aceh', 'sumatera', 'utara', 'sumatera', 'barat']",desember yaallah bulan desemner jadi bukan tsunami pray for aceh sumatera utara sumatera barat,,Positif
Museum Tsunami Aceh,nama kakek nenek gw di situ,,27/07/2025 07:52,5,TikTok,"['nama', 'kakek', 'nenek', 'gw', 'situ']",nama kakek nenek gw situ,,Positif
